"Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"Afghanistan","Market Average","Market Average","bread","2023-11-01","66.52","68.24","64.79","66.43","AFN"
"Afghanistan","Market Average","Market Average","rice","2023-11-01","68.43","71.33","65.16","67.13","AFN"
"Afghanistan","Market Average","Market Average","wheat","2023-11-01","30.47","32.6","29.29","32.29","AFN"
"Burkina Faso","Market Average","Market Average","maize","2023-11-01","242.73","252.73","229.64","232.12","XOF"
"Burkina Faso","Market Average","Market Average","millet","2023-11-01","300.79","315.4","284.7","294.87","XOF"
"Burkina Faso","Market Average","Market Average","sorghum","2023-11-01","252.5","265","238.29","243.37","XOF"
"Burundi","Market Average","Market Average","bananas","2023-11-01","1153.53","1361.01","1031.25","1293.46","BIF"
"Burundi","Market Average","Market Average","beans","2023-11-01","2767.17","3027.85","2538.4","2909.42","BIF"
"Burundi","Market Average","Market Average","cassava_flour","2023-11-01","1812.72","2012.37","1699.31","1962.72","BIF"
"Burundi","Market Average","Market Average","maize","2023-11-01","1960.88","2334.29","1815.64","2328.61","BIF"
"Burundi","Market Average","Market Average","maize_flour","2023-11-01","2195.33","2355.73","2069.65","2286.58","BIF"
"Burundi","Market Average","Market Average","meat_goat","2023-11-01","13225.44","14405.92","12669.44","14203.98","BIF"
"Burundi","Market Average","Market Average","onions","2023-11-01","2674.71","2992.51","2283.22","2488.17","BIF"
"Burundi","Market Average","Market Average","potatoes","2023-11-01","980.03","1250.04","850.23","1201.55","BIF"
"Burundi","Market Average","Market Average","rice","2023-11-01","3483.31","3673.28","3327.32","3588.09","BIF"
"Burundi","Market Average","Market Average","tomatoes","2023-11-01","1495.47","1755.42","1306.73","1613.91","BIF"
"Cameroon","Market Average","Market Average","bananas","2023-11-01","2401.22","2423.05","2379.4","2399.74","XAF"
"Cameroon","Market Average","Market Average","cassava","2023-11-01","1107.71","1120.27","1095.14","1117.01","XAF"
"Cameroon","Market Average","Market Average","cocoyam","2023-11-01","6154.97","6208.69","6102.31","6208.69","XAF"
"Cameroon","Market Average","Market Average","fish_mackerel","2023-11-01","1818.61","1836.12","1801.1","1814.16","XAF"
"Cameroon","Market Average","Market Average","maize","2023-11-01","295.25","303.38","287.11","292.97","XAF"
"Cameroon","Market Average","Market Average","meat_beef","2023-11-01","2474.11","2491.44","2456.78","2490.74","XAF"
"Cameroon","Market Average","Market Average","oil","2023-11-01","1192.3","1214.18","1170.42","1197.51","XAF"
"Cameroon","Market Average","Market Average","rice","2023-11-01","538.59","543.73","533.45","541.74","XAF"
"Cameroon","Market Average","Market Average","sorghum","2023-11-01","21288.97","22265.95","20594.62","22265.95","XAF"
"Cameroon","Market Average","Market Average","wheat_flour","2023-11-01","566.31","573.82","558.81","572.08","XAF"
"Central African Republic","Market Average","Market Average","cassava","2023-11-01","188.61","207.92","169.3","188.56","XAF"
"Central African Republic","Market Average","Market Average","maize","2023-11-01","182.83","206.93","158.74","173.8","XAF"
"Central African Republic","Market Average","Market Average","meat_beef","2023-11-01","3686.97","3867.69","3506.18","3644.28","XAF"
"Central African Republic","Market Average","Market Average","oil","2023-11-01","986.31","1034.48","928.84","965.5","XAF"
"Central African Republic","Market Average","Market Average","rice","2023-11-01","852.53","910.81","794.22","837.18","XAF"
"Chad","Market Average","Market Average","livestockgoat_castrated_male","2023-11-01","16245.99","17001.91","15480.59","16085.81","XAF"
"Chad","Market Average","Market Average","livestocksheep_castrated_male","2023-11-01","27489.63","28880.19","25924.01","26992.93","XAF"
"Chad","Market Average","Market Average","maize","2023-11-01","301.51","322.86","279.87","294.75","XAF"
"Chad","Market Average","Market Average","millet","2023-11-01","292.83","312.25","271.86","282.79","XAF"
"Chad","Market Average","Market Average","rice","2023-11-01","658.84","679.05","638.67","654.32","XAF"
"Chad","Market Average","Market Average","sorghum","2023-11-01","238.51","255.79","221.11","229.01","XAF"
"Congo, Dem. Rep.","Market Average","Market Average","beans","2023-11-01","3063.08","3183.19","2944.01","3081.09","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","cassava","2023-11-01","927.64","959.95","896.49","938.27","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","cassava_flour","2023-11-01","1071.53","1134.69","1010.07","1092.34","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","fish","2023-11-01","6839.97","6998.64","6686.57","6859.01","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","fish_salted","2023-11-01","5420.69","5668.68","5174.15","5397.76","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","fish_smoked","2023-11-01","8705.84","8924.59","8487.29","8721.05","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","maize","2023-11-01","1086.71","1123.39","1051.02","1098.96","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","maize_meal","2023-11-01","1598.22","1647.69","1550.14","1619.78","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","meat_beef","2023-11-01","11354.05","11630.42","11083.33","11404.03","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","meat_chicken","2023-11-01","17791.41","18294.05","17306.99","17968.88","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","meat_goat","2023-11-01","11649.44","11927.04","11412.6","11782.65","CDF"
"Congo, Dem. Rep.","Market Average","Market Average","oil","2023-11-01","2372.51","2481.37","2262.39","2378.84","CDF"
